iter	RMSE
0	5993.876236
1	5868.082371
2	5750.002604
3	5634.77447
4	5533.083688
5	5431.692975
6	5337.257072
7	5245.288585
8	5161.276935
9	5080.781584
10	5002.689961
11	4933.130788
12	4863.803776
13	4801.144172
14	4743.252271
15	4687.598157
16	4634.337973
17	4583.457366
18	4531.805926
19	4484.09001
20	4444.878772
21	4402.043551
22	4362.81482
23	4320.97397
24	4286.567529
25	4254.703814
26	4225.415994
27	4194.288977
28	4164.978287
29	4140.080245
30	4116.287129
31	4090.716838
32	4065.097838
33	4044.012257
34	4024.84283
35	4003.408223
36	3986.880283
37	3967.256634
38	3950.587986
39	3935.189435
40	3919.292688
41	3905.529585
42	3888.02942
43	3873.154954
44	3859.046585
45	3847.332347
46	3835.326084
47	3825.689058
48	3812.954885
49	3800.921309
50	3790.234755
51	3781.148524
52	3772.150949
53	3763.395989
54	3753.026516
55	3744.994973
56	3737.901864
57	3730.869292
58	3720.594831
59	3714.040937
60	3704.918804
61	3697.918493
62	3691.062996
63	3685.946858
64	3676.96252
65	3668.938668
66	3662.472927
67	3655.98
68	3649.521143
69	3644.492316
70	3631.924546
71	3627.19055
72	3614.920506
73	3608.107221
74	3597.001607
75	3588.813775
76	3576.569728
77	3572.174601
78	3565.905565
79	3561.559792
80	3550.268586
81	3545.612435
82	3539.038217
83	3529.946997
84	3525.942248
85	3519.031076
86	3515.367698
87	3510.24863
88	3505.69942
89	3498.838516
90	3492.358267
91	3489.048384
92	3481.258591
93	3475.730191
94	3472.065532
95	3464.928818
96	3462.626177
97	3456.57391
98	3453.0129
99	3447.407796
100	3444.538926
101	3436.988221
102	3434.629026
103	3430.232135
104	3426.397221
105	3420.031047
106	3416.593695
107	3413.288737
108	3410.691105
109	3406.690941
110	3404.751767
111	3401.926202
112	3394.322277
113	3389.500399
114	3385.880272
115	3382.554022
116	3380.175404
117	3377.332784
118	3372.842285
119	3371.018958
120	3368.50507
121	3363.139018
122	3359.533226
123	3355.21781
124	3350.600123
125	3348.707357
126	3346.232322
127	3343.425185
128	3340.237778
129	3338.38454
130	3336.27139
131	3332.58078
132	3331.972793
133	3328.704638
134	3326.458035
135	3325.056747
136	3324.879719
137	3319.470984
138	3316.833209
139	3314.15765
140	3307.312981
141	3303.6594
142	3301.033982
143	3298.581145
144	3295.483824
145	3293.653879
146	3292.340948
147	3290.163314
148	3288.041242
149	3286.053647
150	3282.268142
151	3278.28928
152	3277.198065
153	3274.577572
154	3272.871743
155	3270.69072
156	3266.260337
157	3265.456153
158	3260.525754
159	3259.540621
160	3257.930393
161	3254.1442
162	3250.167774
163	3249.478132
164	3245.129047
165	3240.596028
166	3236.4793
167	3230.885324
168	3230.864124
169	3225.85556
170	3223.658879
171	3222.957296
172	3220.438203
173	3220.3382
174	3217.659587
175	3216.814391
176	3215.185673
177	3214.036253
178	3211.138376
179	3207.446283
180	3205.796133
181	3203.431283
182	3202.162679
183	3200.945224
184	3198.065803
185	3195.911692
186	3191.955597
187	3186.925561
188	3185.46341
189	3185.16593
190	3183.88527
191	3179.896145
192	3179.821928
193	3177.877129
194	3176.937159
195	3174.654672
196	3168.178233
197	3166.880058
198	3165.990154
199	3163.264733
200	3162.125878
201	3159.760732
202	3158.987685
203	3156.048589
204	3153.285043
205	3152.4163
206	3148.993399
207	3146.00789
208	3142.653095
209	3141.559724
210	3135.571251
211	3134.70109
212	3134.065316
213	3133.776342
214	3129.656417
215	3128.655309
216	3128.263611
217	3126.204016
218	3124.048837
219	3120.828043
220	3118.494658
221	3116.168566
222	3114.436739
223	3112.801636
224	3111.638661
225	3110.123546
226	3108.498099
227	3106.596325
228	3105.438851
229	3102.724629
230	3101.038445
231	3099.86633
232	3097.294814
233	3096.840389
234	3095.060827
235	3093.871189
236	3090.31546
237	3088.904042
238	3088.021153
239	3087.867886
240	3086.666835
241	3086.279158
242	3085.665413
243	3085.08961
244	3083.872724
245	3083.31542
246	3082.129478
247	3080.926014
248	3080.237641
249	3076.910205
250	3075.797159
251	3074.115438
252	3073.527604
253	3067.142552
254	3065.307157
255	3064.230068
256	3063.462882
257	3059.046468
258	3057.824432
259	3057.064796
260	3055.861155
261	3054.978006
262	3053.846237
263	3053.010887
264	3051.42924
265	3050.227542
266	3048.741668
267	3048.346366
268	3047.652599
269	3046.054503
270	3045.301931
271	3043.894622
272	3042.579274
273	3041.981623
274	3041.008022
275	3040.379266
276	3039.044806
277	3035.475462
278	3034.151632
279	3033.993866
280	3032.391372
281	3030.39158
282	3029.198164
283	3027.692144
284	3027.494312
285	3026.830442
286	3024.950468
287	3024.462297
288	3022.990425
289	3019.581121
290	3018.164497
291	3017.54721
292	3016.786023
293	3016.290201
294	3014.56389
295	3013.900137
296	3012.539468
297	3011.671051
298	3011.130021
299	3010.404299
300	3010.249652
301	3007.405045
302	3003.893293
303	3003.782166
304	3003.645856
305	3002.985039
306	3002.678949
307	3001.317055
308	3000.402324
309	2999.711514
310	2997.83557
311	2995.586787
312	2995.038167
313	2991.924298
314	2990.733879
315	2989.382546
316	2988.861908
317	2984.11207
318	2982.849826
319	2981.395358
320	2980.545249
321	2979.794561
322	2979.213005
323	2978.3017
324	2977.438037
325	2977.339387
326	2976.469183
327	2975.675374
328	2974.155854
329	2973.96306
330	2973.40985
331	2972.631298
332	2971.380452
333	2969.404248
334	2968.782164
335	2968.369434
336	2967.955497
337	2967.326275
338	2965.881567
339	2965.135657
340	2964.368592
341	2962.867025
342	2962.47692
343	2961.541339
344	2961.119841
345	2957.439619
346	2957.123943
347	2953.667625
348	2951.101981
349	2950.547272
350	2950.22737
351	2949.37194
352	2948.67555
353	2947.919885
354	2947.59385
355	2947.177585
356	2947.00635
357	2945.44678
358	2945.024577
359	2943.258269
360	2942.854217
361	2942.448132
362	2942.084873
363	2937.940048
364	2934.636943
365	2932.925251
366	2932.587068
367	2931.464851
