iter	Passed	Remaining
0	159	191298
1	185	110826
2	210	84090
3	233	69794
4	256	61205
5	278	55404
6	298	50921
7	320	47736
8	340	45044
9	359	42814
10	380	41160
11	400	39650
12	431	39396
13	452	38311
14	476	37625
15	496	36728
16	515	35901
17	537	35326
18	560	34812
19	579	34214
20	596	33499
21	615	32961
22	635	32495
23	656	32149
24	680	31983
25	703	31760
26	724	31470
27	745	31201
28	765	30913
29	787	30712
30	813	30664
31	835	30484
32	857	30335
33	880	30206
34	902	30051
35	925	29912
36	942	29623
37	968	29612
38	991	29519
39	1017	29502
40	1042	29460
41	1068	29464
42	1103	29701
43	1128	29643
44	1149	29498
45	1170	29360
46	1192	29244
47	1217	29226
48	1239	29124
49	1260	28999
50	1285	28951
51	1307	28858
52	1330	28787
53	1354	28744
54	1375	28645
55	1398	28563
56	1422	28524
57	1444	28447
58	1466	28357
59	1487	28267
60	1508	28165
61	1527	28042
62	1548	27942
63	1568	27837
64	1587	27727
65	1610	27675
66	1630	27564
67	1650	27475
68	1671	27391
69	1691	27301
70	1712	27228
71	1731	27131
72	1752	27056
73	1773	26985
74	1793	26901
75	1816	26866
76	1837	26800
77	1857	26725
78	1878	26658
79	1900	26609
80	1921	26545
81	1940	26461
82	1962	26406
83	1981	26331
84	2001	26254
85	2022	26200
86	2042	26131
87	2062	26062
88	2084	26020
89	2105	25963
90	2125	25904
91	2147	25861
92	2166	25789
93	2187	25741
94	2209	25694
95	2232	25668
96	2252	25614
97	2273	25560
98	2293	25502
99	2314	25456
100	2335	25409
101	2355	25359
102	2377	25322
103	2400	25298
104	2426	25307
105	2447	25258
106	2466	25192
107	2486	25145
108	2506	25083
109	2525	25025
110	2544	24960
111	2565	24917
112	2585	24867
113	2606	24827
114	2626	24783
115	2646	24728
116	2667	24688
117	2688	24648
118	2708	24608
119	2729	24568
120	2749	24521
121	2770	24479
122	2791	24441
123	2812	24409
124	2836	24395
125	2857	24356
126	2877	24315
127	2900	24288
128	2920	24247
129	2940	24201
130	2962	24171
131	2982	24130
132	2993	24014
133	3012	23963
134	3031	23918
135	3051	23874
136	3060	23742
137	3079	23700
138	3099	23660
139	3119	23618
140	3139	23582
141	3160	23549
142	3180	23508
143	3200	23473
144	3221	23439
145	3243	23412
146	3263	23373
147	3283	23338
148	3302	23296
149	3323	23265
150	3343	23226
151	3364	23194
152	3386	23171
153	3406	23134
154	3426	23103
155	3446	23064
156	3466	23026
157	3485	22989
158	3505	22949
159	3526	22924
160	3545	22880
161	3564	22840
162	3584	22804
163	3602	22760
164	3623	22727
165	3643	22695
166	3662	22656
167	3681	22614
168	3690	22512
169	3710	22481
170	3731	22454
171	3750	22417
172	3770	22380
173	3781	22296
174	3800	22260
175	3817	22211
176	3837	22179
177	3857	22150
178	3880	22133
179	3900	22101
180	3921	22076
181	3941	22047
182	3961	22016
183	3981	21984
