Bed,Bath,Month,SubArea,Region,PropertyType
1,1,9,Bashundhara R.A,Dhaka,Bachelor Room
1,1,9,Katasur,Dhaka,Bachelor Seat
2,2,6,Cox's Bazar Sadar,Chittagong,Family
1,1,8,Chokbazar,Chittagong,Bachelor Seat
2,2,9,Bogra Sadar,Rajshahi,Family
2,2,8,Patuakhali Sadar,Barishal,Family
1,1,10,Bashundhara R.A,Dhaka,Bachelor Room
0,1,10,Vuter Goli,Dhaka,Sublet
2,2,5,Sherpur Sadar,Mymensingh,Family
1,1,9,Rupatali,Barishal,Family
1,1,8,Badda DIT Project,Dhaka,Bachelor Seat
1,1,9,Ambarkhana,Sylhet,Bachelor Seat
2,2,8,Munshi Para,Rangpur,Family
4,2,10,Mymensingh Sadar,Mymensingh,Family
2,2,6,Barisal Sadar,Barishal,Family
1,1,9,Boikali Bazar,Khulna,Bachelor Seat
1,1,10,Mohakhali,Dhaka,Bachelor Seat
3,2,9,Dinajpur Sadar,Rangpur,Family
2,1,7,Uposhohor,Rajshahi,Family
1,1,9,Habiganj Sadar,Sylhet,Family
0,1,4,Comilla Sadar,Chittagong,Sublet
1,1,8,Mymensingh Sadar,Mymensingh,Other
2,1,8,Jhalokati Sadar,Barishal,Family
2,2,10,Sylhet Sadar,Sylhet,Family
0,1,6,Polash Para,Rangpur,Sublet
2,1,9,Natore Sadar,Rajshahi,Family
2,2,8,Noboudoy Housing,Dhaka,Family
1,1,4,Fakirpara,Rangpur,Bachelor Room
3,1,9,Adabor,Dhaka,Family
2,2,10,Basabo,Dhaka,Family
1,1,9,Khilkhet,Dhaka,Bachelor Seat
2,1,11,Golapganj,Sylhet,Family
0,1,10,Kaderabad Housing Society,Dhaka,Sublet
1,1,8,Boyra,Khulna,Bachelor Seat
0,1,9,Katasur,Dhaka,Sublet
0,1,9,Rajshahi Sadar,Rajshahi,Bachelor Seat
1,1,9,Kochukhet,Dhaka,Bachelor Seat
1,1,10,Chandrima Model Town,Dhaka,Family
1,1,8,Laxmipur,Rajshahi,Bachelor Seat
1,1,9,Bamnartek,Dhaka,Bachelor Seat
1,1,9,Shankipara,Mymensingh,Bachelor Seat
1,1,6,Bogra Sadar,Rajshahi,Family
2,1,11,Kawlar,Dhaka,Family
0,1,10,Sector 13,Dhaka,Sublet
2,1,9,Khilkhet,Dhaka,Family
1,1,6,Rangpur Sadar,Rangpur,Family
3,2,7,Gohailkandi,Mymensingh,Family
1,1,10,Sector 10,Dhaka,Bachelor Seat
1,1,8,Bashundhara R.A,Dhaka,Bachelor Room
3,3,9,Narinda,Dhaka,Family
