Location,Bed,Bath,To-let From,Rent,Title,Region,Month,SubArea,PropertyType
"Vatara, Dhaka",3,4,September Rent ,38000,"Family Flat Rent Vatara, Dhaka",Dhaka,9,Vatara,Family
"Rayer Bazar, Mohammadpur",0,2,October Rent ,6500,"Sublet Room Rent Rayer Bazar, Mohammadpur Room: 1, Bath: 2 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka,10,Rayer Bazar,Sublet
"Nikunja 2, Khilkhet",1,1,October Rent ,7000,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka,10,Nikunja 2,Bachelor Room
"Savar, Dhaka",3,3,October Rent ,10000,"Family Flat Rent Savar, Dhaka",Dhaka,10,Savar,Family
"Agargaon, Sher-E-Bangla Nagar",3,3,October Rent ,26000,"Family Flat Rent Agargaon, Sher-E-Bangla Nagar",Dhaka,10,Agargaon,Family
"Malibag, Shahjahanpur",1,1,October Rent ,3000,"Bachelor Seat Rent Malibag, Shahjahanpur",Dhaka,10,Malibag,Bachelor Seat
"Mirpur 1, Mirpur",1,1,October Rent ,3500,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,10,Mirpur 1,Bachelor Seat
"Mohammadpur, Dhaka",1,1,October Rent ,4000,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Bachelor Seat
"Shyamoli, Mohammadpur",1,1,October Rent ,2600,"Bachelor Seat Rent Shyamoli, Mohammadpur",Dhaka,10,Shyamoli,Bachelor Seat
"Shyamoli, Mohammadpur",1,1,September Rent ,4000,"Bachelor Seat Rent Shyamoli, Mohammadpur",Dhaka,9,Shyamoli,Bachelor Seat
"Mugda, Dhaka",3,3,October Rent ,18000,"Family Flat Rent Mugda, Dhaka",Dhaka,10,Mugda,Family
"Banasree, Rampura",1,1,September Rent ,3000,"Bachelor Room Rent Banasree, Rampura",Dhaka,9,Banasree,Bachelor Room
"Badda, Dhaka",3,2,October Rent ,14000,"Family Flat Rent Badda, Dhaka",Dhaka,10,Badda,Family
"Gopibag, Sutrapur",3,2,October Rent ,22000,"Family Flat Rent Gopibag, Sutrapur",Dhaka,10,Gopibag,Family
"Dhanmondi, Dhaka",1,1,October Rent ,3000,"Bachelor Seat Rent Dhanmondi, Dhaka",Dhaka,10,Dhanmondi,Bachelor Seat
"Mohammadpur, Dhaka",2,1,October Rent ,7500,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Family
"Badda, Dhaka",1,1,October Rent ,8000,"Bachelor Room Rent Badda, Dhaka",Dhaka,10,Badda,Bachelor Room
"Azimpur, Lalbag",1,1,September Rent ,3000,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,9,Azimpur,Bachelor Seat
"Moghbazar, Ramna",1,1,October Rent ,2700,"Bachelor Seat Rent Moghbazar, Ramna",Dhaka,10,Moghbazar,Bachelor Seat
