Location,Bed,Bath,To-let From,Rent,Title,Region
"Vatara, Dhaka",3,4,September Rent ,38000,"Family Flat Rent Vatara, Dhaka",Dhaka
"Rayer Bazar, Mohammadpur",N/A,2,October Rent ,6500,"Sublet Room Rent Rayer Bazar, Mohammadpur Room: 1, Bath: 2 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,7000,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Savar, Dhaka",3,3,October Rent ,10000,"Family Flat Rent Savar, Dhaka",Dhaka
"Agargaon, Sher-E-Bangla Nagar",3,3,October Rent ,26000,"Family Flat Rent Agargaon, Sher-E-Bangla Nagar",Dhaka
"Malibag, Shahjahanpur",1,1,October Rent ,3000,"Bachelor Seat Rent Malibag, Shahjahanpur",Dhaka
"Mirpur 1, Mirpur",1,1,October Rent ,3500,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka
"Mohammadpur, Dhaka",1,1,October Rent ,4000,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Shyamoli, Mohammadpur",1,1,October Rent ,2600,"Bachelor Seat Rent Shyamoli, Mohammadpur",Dhaka
"Shyamoli, Mohammadpur",1,1,September Rent ,4000,"Bachelor Seat Rent Shyamoli, Mohammadpur",Dhaka
"Mugda, Dhaka",3,3,October Rent ,18000,"Family Flat Rent Mugda, Dhaka",Dhaka
"Banasree, Rampura",1,1,September Rent ,3000,"Bachelor Room Rent Banasree, Rampura",Dhaka
"Badda, Dhaka",3,2,October Rent ,14000,"Family Flat Rent Badda, Dhaka",Dhaka
"Gopibag, Sutrapur",3,2,October Rent ,22000,"Family Flat Rent Gopibag, Sutrapur",Dhaka
"Dhanmondi, Dhaka",1,1,October Rent ,3000,"Bachelor Seat Rent Dhanmondi, Dhaka",Dhaka
"Mohammadpur, Dhaka",2,1,October Rent ,7500,"Family Flat Rent Mohammadpur, Dhaka",Dhaka
